name,findName,country,longitude,latitude
Kabanga,KABANGA,TZ,30.467779,-2.63861
Izazi,IZAZI,TZ,35.73333,-7.2
Itigi,ITIGI,TZ,34.48333,-5.7
Isaka,ISAKA,TZ,32.933331,-3.9
Iringa,IRINGA,TZ,35.700001,-7.76667
Ipinda,IPINDA,TZ,33.900002,-9.48333
Ilula,ILULA,TZ,36.036579,-7.6766
Ilongero,ILONGERO,TZ,34.866669,-4.66667
Ilembula,ILEMBULA,TZ,34.583328,-8.9
Ikungi,IKUNGI,TZ,34.76667,-5.13333
Igurusi,IGURUSI,TZ,33.849998,-8.85
Igunga,IGUNGA,TZ,33.883331,-4.28333
Igugunu,IGUGUNU,TZ,34.633331,-4.56667
Ifakara,IFAKARA,TZ,36.683331,-8.13333
Hedaru,HEDARU,TZ,37.900002,-4.5
Geiro,GEIRO,TZ,36.866669,-6.15
Galappo,GALAPPO,TZ,35.849998,-4.26667
Dongobesh,DONGOBESH,TZ,35.383331,-4.06667
Dodoma,DODOMA,TZ,35.739471,-6.17221
Dar es Salaam,DAR ES SALAAM,TZ,39.269508,-6.82349
